"Instrument","Nom=","nanodac",,"Numéro de série =","0",,"Version du logiciel = ","V8.14"
,"Adresse MAC =","00:0A:8D:FF:12:F2",,"Langue =","FR",,"Pays =","FR",,"Fuseau horaire =","GMT"
"NomGroupe","Group 1"
"Temperature","Bas =",0.0,"Haut =",300.0,"Unité =","°C"
"TC1","Bas =",0.0,"Haut =",300.0,"Unité =","°C"
"TC2","Bas =",0.0,"Haut =",300.0,"Unité =","°C"
"TC3","Bas =",0.0,"Haut =",300.0,"Unité =","°C"
"Consigne","Bas =",0.0,"Haut =",300.0,"Unité =","°C"
"Puissance de chauffa","Bas =",0,"Haut =",100,"Unité =",""
"Date/Heure",,"Temperature","TC1","TC2","TC3","Consigne","Puissance de chauffa"
,,"°C","°C","°C","°C","°C",""
"03/05/21 07:39:56.625","Démarrage du système"
"03/05/21 07:39:56.625","Version de config: 4"
"03/05/21 07:39:56.625","Version de sécurité: 2"
"03/05/21 07:39:56.625","Paramètres BDD valides"
"03/05/21 07:39:56.625","Section nvol valide"
"03/05/21 07:40:00",,25.6,">Gamme",">Gamme",">Gamme",0.0,0
"03/05/21 07:40:10",,25.6,">Gamme",">Gamme",">Gamme",0.0,0
"03/05/21 07:40:20",,25.7,">Gamme",">Gamme",">Gamme",0.0,0
"03/05/21 07:40:30",,25.7,">Gamme",">Gamme",">Gamme",0.0,0
"03/05/21 07:40:40",,25.7,">Gamme",">Gamme",">Gamme",0.0,0
"03/05/21 07:40:43.125","Connexion de: Superviseur"
"03/05/21 07:40:50",,25.8,">Gamme",">Gamme",">Gamme",0.0,0
"03/05/21 07:41:00",,25.8,">Gamme",">Gamme",">Gamme",0.0,0
"03/05/21 07:41:10",,25.8,">Gamme",">Gamme",">Gamme",0.0,0
"03/05/21 07:41:20",,25.8,">Gamme",">Gamme",">Gamme",0.0,0
"03/05/21 07:41:30",,25.9,">Gamme",">Gamme",">Gamme",0.0,0
"03/05/21 07:41:40",,25.9,">Gamme",">Gamme",">Gamme",0.0,0
"03/05/21 07:41:50",,25.9,">Gamme",">Gamme",">Gamme",0.0,0
"03/05/21 07:42:00",,25.9,">Gamme",">Gamme",">Gamme",0.0,0
"03/05/21 07:42:10",,26.0,">Gamme",">Gamme",">Gamme",0.0,0
"03/05/21 07:42:20",,26.0,">Gamme",">Gamme",">Gamme",0.0,0
"03/05/21 07:42:30",,26.0,">Gamme",">Gamme",">Gamme",0.0,0
"03/05/21 07:42:40",,26.1,">Gamme",">Gamme",">Gamme",0.0,0
