"Instrument","Nom=","nanodac",,"Numéro de série =","0",,"Version du logiciel = ","V8.14"
,"Adresse MAC =","00:0A:8D:FF:12:F2",,"Langue =","FR",,"Pays =","FR",,"Fuseau horaire =","GMT"
"NomGroupe","Group 1"
"Temperature","Bas =",0.0,"Haut =",300.0,"Unité =","°C"
"TC1","Bas =",0.0,"Haut =",300.0,"Unité =","°C"
"TC2","Bas =",0.0,"Haut =",300.0,"Unité =","°C"
"TC3","Bas =",0.0,"Haut =",300.0,"Unité =","°C"
"Consigne","Bas =",0.0,"Haut =",300.0,"Unité =","°C"
"Puissance de chauffa","Bas =",0,"Haut =",100,"Unité =",""
"Date/Heure",,"Temperature","TC1","TC2","TC3","Consigne","Puissance de chauffa"
,,"°C","°C","°C","°C","°C",""
"19/04/21 06:35:51.625","Démarrage du système"
"19/04/21 06:35:51.625","Version de config: 4"
"19/04/21 06:35:51.625","Version de sécurité: 2"
"19/04/21 06:35:51.625","Paramètres BDD valides"
"19/04/21 06:35:51.625","Section nvol valide"
"19/04/21 06:36:00",,24.7,">Gamme",">Gamme",">Gamme",0.0,0
"19/04/21 06:36:10",,24.8,">Gamme",">Gamme",">Gamme",0.0,0
"19/04/21 06:36:20",,24.9,">Gamme",">Gamme",">Gamme",0.0,0
"19/04/21 06:36:30",,24.9,">Gamme",">Gamme",">Gamme",0.0,0
"19/04/21 06:36:40",,25.0,">Gamme",">Gamme",">Gamme",0.0,0
"19/04/21 06:36:50",,25.0,">Gamme",">Gamme",">Gamme",0.0,0
"19/04/21 06:37:00",,25.1,">Gamme",">Gamme",">Gamme",0.0,0
"19/04/21 06:37:10",,25.1,">Gamme",">Gamme",">Gamme",0.0,0
"19/04/21 06:37:20",,25.2,">Gamme",">Gamme",">Gamme",0.0,0
"19/04/21 06:37:30",,25.2,">Gamme",">Gamme",">Gamme",0.0,0
"19/04/21 06:37:40",,25.3,">Gamme",">Gamme",">Gamme",0.0,0
"19/04/21 06:37:50",,25.3,">Gamme",">Gamme",">Gamme",0.0,0
"19/04/21 06:38:00",,25.3,">Gamme",">Gamme",">Gamme",0.0,0
"19/04/21 06:38:10",,25.4,">Gamme",">Gamme",">Gamme",0.0,0
"19/04/21 06:38:20",,25.4,">Gamme",">Gamme",">Gamme",0.0,0
"19/04/21 06:38:30",,25.5,">Gamme",">Gamme",">Gamme",0.0,0
"19/04/21 06:38:40",,25.5,">Gamme",">Gamme",">Gamme",0.0,0
